description,name,Nro de Inscripción,CUIT,Domicilio,Localidad,Provincia,Código Postal,Referente y Cargo,Teléf. de Contacto,E-Mail de contacto,WEB,Perfil de Facebook,Twitter,Programas,capa,Oeste,Sur,geometry
Nro de Inscripción: 5<br>CUIT: 30-61302615-7<br>Domicilio: Av. 17 951 Galeria San Marcos 10<br>Localidad: Las Parejas<br>Provincia: Santa Fe<br>Código Postal: S2505ASS<br>Referente y Cargo: Pablo Basta Gerente<br>Teléf. de Contacto: 03471-471452<br>E-Mail de contacto: pbasta@centroindutrial.com.ar<br>WEB: www.centroindustral.com.ar<br>Perfil de Facebook: Centro Industrial de Las Parejas<br>Twitter: @centro_ind<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -61.526521<br>Sur: -32.683956,Centro Industrial de Las Parejas,5,30-61302615-7,Av. 17 951 Galeria San Marcos 10,Las Parejas,Santa Fe,S2505ASS,Pablo Basta Gerente,03471-471452,pbasta@centroindutrial.com.ar,www.centroindustral.com.ar,Centro Industrial de Las Parejas,@centro_ind,INCUBADORA PAC y Fondo Semilla,incubadora,-61.526521,-32.683956,"<Point><coordinates>-61.526521,-32.683956,0.0</coordinates></Point>"
Nro de Inscripción: 12<br>CUIT: 30-67392762-5<br>Domicilio: Calle Juan Manuel de Rosas 115 0 0<br>Localidad: Las Parejas<br>Provincia: Santa Fe<br>Código Postal: 2500<br>Referente y Cargo: Rogelio Magnoni Presidente<br>Teléf. de Contacto: 03471-470789 / 472575<br>E-Mail de contacto: cideter@telnet.com.ar<br>WEB: www.cideter.com.ar<br>Perfil de Facebook: https://www.facebook.com/centro teconlogico cideter<br>Twitter: <br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -61.524373<br>Sur: -32.691799,FUNDACION CIDETER,12,30-67392762-5,Calle Juan Manuel de Rosas 115 0 0,Las Parejas,Santa Fe,2500,Rogelio Magnoni Presidente,03471-470789 / 472575,cideter@telnet.com.ar,www.cideter.com.ar,https://www.facebook.com/centro teconlogico cideter,,INCUBADORA PAC y Fondo Semilla,incubadora,-61.524373,-32.691799,"<Point><coordinates>-61.524373,-32.691799,0.0</coordinates></Point>"
"Nro de Inscripción: 34<br>CUIT: 30-54667055-0<br>Domicilio: Bv. Galvez 1150 1<br>Localidad: Santa Fe<br>Provincia: Santa Fe<br>Código Postal: 3000<br>Referente y Cargo: María Sol Collados Coordinadora Programa Generación, Incubación y Desarrollo de Empresas<br>Teléf. de Contacto: 0342 4551211 int. 112 0342 4650693<br>E-Mail de contacto: mscollados@gmail.com; expresiva@santafeciudad.gov.ar<br>WEB: http://www.expresivasantafe.com.ar/<br>Perfil de Facebook: https://www.facebook.com/expresivaincubadora/?fref=ts<br>Twitter: <br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -60.687404<br>Sur: -31.638611",Expresiva Incubadora de Emprendimientos Culturales de Santa Fe,34,30-54667055-0,Bv. Galvez 1150 1,Santa Fe,Santa Fe,3000,"María Sol Collados Coordinadora Programa Generación, Incubación y Desarrollo de Empresas",0342 4551211 int. 112 0342 4650693,mscollados@gmail.com; expresiva@santafeciudad.gov.ar,http://www.expresivasantafe.com.ar/,https://www.facebook.com/expresivaincubadora/?fref=ts,,INCUBADORA PAC y Fondo Semilla,incubadora,-60.687404,-31.638611,"<Point><coordinates>-60.687404,-31.638611,0.0</coordinates></Point>"
Nro de Inscripción: 14<br>CUIT: 30-69996917-2<br>Domicilio: 47 271<br>Localidad: La Plata<br>Provincia: Buenos Aires<br>Código Postal: 1900<br>Referente y Cargo: Francisco Gliemmo Presidente<br>Teléf. de Contacto: 0221-422-3916<br>E-Mail de contacto: desarolloproductivo@uiglp.org.ar<br>WEB: www.uiglp.org.ar<br>Perfil de Facebook: https://www.facebook.com/uiglp/<br>Twitter: https://twitter.com/uialaplata<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -57.945399<br>Sur: -34.906748,Unión Industrial del Gran La Plata,14,30-69996917-2,47 271,La Plata,Buenos Aires,1900,Francisco Gliemmo Presidente,0221-422-3916,desarolloproductivo@uiglp.org.ar,www.uiglp.org.ar,https://www.facebook.com/uiglp/,https://twitter.com/uialaplata,INCUBADORA PAC y Fondo Semilla,incubadora,-57.945399,-34.906748,"<Point><coordinates>-57.945399,-34.906748,0.0</coordinates></Point>"
Nro de Inscripción: 29<br>CUIT: 30-71337240-0<br>Domicilio: Av. Illia 340 2 A y B<br>Localidad: San Luis<br>Provincia: San Luis<br>Código Postal: 5700<br>Referente y Cargo: Maria Eugenia Gallardo Presidenta del Consejo de Administración<br>Teléf. de Contacto: 0266 154004587<br>E-Mail de contacto: <br>WEB: http://fundacionemprendersl.org/<br>Perfil de Facebook: https://www.facebook.com/fundacion.emprender.9/?fref=ts<br>Twitter: https://twitter.com/femprendersl?lang=es<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -66.342888<br>Sur: -33.300386,Fundación Emprender San Luis,29,30-71337240-0,Av. Illia 340 2 A y B,San Luis,San Luis,5700,Maria Eugenia Gallardo Presidenta del Consejo de Administración,0266 154004587,,http://fundacionemprendersl.org/,https://www.facebook.com/fundacion.emprender.9/?fref=ts,https://twitter.com/femprendersl?lang=es,INCUBADORA PAC y Fondo Semilla,incubadora,-66.342888,-33.300386,"<Point><coordinates>-66.342888,-33.300386,0.0</coordinates></Point>"
Nro de Inscripción: 16<br>CUIT: 30-71447047-3<br>Domicilio: Santa Fe 618 1 C<br>Localidad: Venado Tuerto<br>Provincia: Santa Fe<br>Código Postal: 2600<br>Referente y Cargo: Eduardo Martín Eito Presidente<br>Teléf. de Contacto: 03462 - 316781 / 03462 - 593467<br>E-Mail de contacto: presidencia@fundacionsynergys.org<br>WEB: www.fundacionsynergys.org<br>Perfil de Facebook: www.facebook.com/synergys.fundacion<br>Twitter: @fsynergys<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -61.958003<br>Sur: -33.743057,FUNDACION SYNERGYS,16,30-71447047-3,Santa Fe 618 1 C,Venado Tuerto,Santa Fe,2600,Eduardo Martín Eito Presidente,03462 - 316781 / 03462 - 593467,presidencia@fundacionsynergys.org,www.fundacionsynergys.org,www.facebook.com/synergys.fundacion,@fsynergys,INCUBADORA PAC y Fondo Semilla,incubadora,-61.958003,-33.743057,"<Point><coordinates>-61.958003,-33.743057,0.0</coordinates></Point>"
Nro de Inscripción: 51<br>CUIT: 30-99907491-6<br>Domicilio: Avenidad Alvear Oeste 550 0 0<br>Localidad: General Alvear<br>Provincia: Mendoza<br>Código Postal: 5620<br>Referente y Cargo: Miguel Giovannini Secretario de Desarrollo y Promocion Economico<br>Teléf. de Contacto: 02625-427393<br>E-Mail de contacto: idealvear@gmail.com<br>WEB: http://alvearmendoza.gob.ar/<br>Perfil de Facebook: https://www.facebook.com/GeneralAlvearMendoza/?ref=br_rs<br>Twitter: @MuniAlvear<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -67.696263<br>Sur: -34.978102,Municipalidad de General Alvear,51,30-99907491-6,Avenidad Alvear Oeste 550 0 0,General Alvear,Mendoza,5620,Miguel Giovannini Secretario de Desarrollo y Promocion Economico,02625-427393,idealvear@gmail.com,http://alvearmendoza.gob.ar/,https://www.facebook.com/GeneralAlvearMendoza/?ref=br_rs,@MuniAlvear,INCUBADORA PAC y Fondo Semilla,incubadora,-67.696263,-34.978102,"<Point><coordinates>-67.696263,-34.978102,0.0</coordinates></Point>"
Nro de Inscripción: 3<br>CUIT: 33-70953594-9<br>Domicilio: Maipú 41 8<br>Localidad: San Miguel de Tucumán<br>Provincia: Tucumán<br>Código Postal: 4000<br>Referente y Cargo: Roberto Martínez Gerente General<br>Teléf. de Contacto: (0381) 4975050 interno 30 (0381) 155074180<br>E-Mail de contacto: elianaroda@idep.gov.ar<br>WEB: www.idep.gov.ar<br>Perfil de Facebook: https://www.facebook.com/IDEPtucuman<br>Twitter: https://twitter.com/ideptucuman<br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -65.207719<br>Sur: -26.829883,Instituto de Desarrollo Productivo de Tucumán,3,33-70953594-9,Maipú 41 8,San Miguel de Tucumán,Tucumán,4000,Roberto Martínez Gerente General,(0381) 4975050 interno 30 (0381) 155074180,elianaroda@idep.gov.ar,www.idep.gov.ar,https://www.facebook.com/IDEPtucuman,https://twitter.com/ideptucuman,INCUBADORA PAC y Fondo Semilla,incubadora,-65.207719,-26.829883,"<Point><coordinates>-65.207719,-26.829883,0.0</coordinates></Point>"
Nro de Inscripción: 36<br>CUIT: 30-71124942-3<br>Domicilio: Intendente Campos 1858 4 A<br>Localidad: San Martín<br>Provincia: Buenos Aires<br>Código Postal: 1650<br>Referente y Cargo: Fernando Rassiga Director General<br>Teléf. de Contacto: 48744369<br>E-Mail de contacto: fundacionunsaminnova@gmail.com<br>WEB: www.funintec.org.ar<br>Perfil de Facebook: <br>Twitter: <br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -58.525766<br>Sur: -34.579619,Fundación UNSAM Innovación y Tecnología,36,30-71124942-3,Intendente Campos 1858 4 A,San Martín,Buenos Aires,1650,Fernando Rassiga Director General,48744369,fundacionunsaminnova@gmail.com,www.funintec.org.ar,,,INCUBADORA PAC y Fondo Semilla,incubadora,-58.525766,-34.579619,"<Point><coordinates>-58.525766,-34.579619,0.0</coordinates></Point>"
Nro de Inscripción: 9<br>CUIT: 30-71440774-7<br>Domicilio: Ascasubi 290<br>Localidad: San Salvador de Jujuy<br>Provincia: Jujuy<br>Código Postal: 4600<br>Referente y Cargo: Diego Suarez Secretario de Desarrollo Industrial y Comercial<br>Teléf. de Contacto: (0388) 4264014 - 4264015<br>E-Mail de contacto: incubarjujuy@gmail.com<br>WEB: http://www.jujuy.gov.ar/<br>Perfil de Facebook: <br>Twitter: <br>Programas: INCUBADORA PAC y Fondo Semilla<br>Oeste: -65.290523<br>Sur: -24.173805,Secretaria de Desarrollo Industrial y Comercial,9,30-71440774-7,Ascasubi 290,San Salvador de Jujuy,Jujuy,4600,Diego Suarez Secretario de Desarrollo Industrial y Comercial,(0388) 4264014 - 4264015,incubarjujuy@gmail.com,http://www.jujuy.gov.ar/,,,INCUBADORA PAC y Fondo Semilla,incubadora,-65.290523,-24.173805,"<Point><coordinates>-65.290523,-24.173805,0.0</coordinates></Point>"
