Categoría,description,Articulador,Provincia,Localidad,Email,Sitio Web,Dirección,Teléfono,latitude,longitude
Centros de Atención Local,CAL – Santa Cruz – Calafate,Centro de Atención Local,Santa Cruz,Calafate,,,Av. Sonia Simunovic N° 91 - CP9405 - Calafate (Santa Cruz),,-50.352719,-72.259357
Centros de Atención Local,CAL – Buenos Aires – San Miguel del Monte,Centro de Atención Local,Buenos Aires,San Miguel del Monte,,,Petracchi N° 640 - CP 7220 - San Miguel del Monte (Buenos Aires),(02271) 2131071,-35.441003,-58.807178
Centros de Atención Local,CAL – Buenos Aires – Tigre,Centro de Atención Local,Buenos Aires,Tigre,,,Buenos Aires N° 761 - CP 1618 - Gral. Pacheco (Buenos Aires),(011) 4726-2890,-34.458398,-58.633641
Centros de Atención Local,CAL – Buenos Aires – Avellaneda,Centro de Atención Local,Buenos Aires,Avellaneda,,,Lavalle 355 - CP 1871 - Avellaneda (Buenos Aires),(011) 4201-6548,-34.665743,-58.370413
Centros de Atención Local,CAL – Buenos Aires – Esteban Echeverría,Centro de Atención Local,Buenos Aires,Esteban Echeverría,,,Sofía Terrero de Santamarina 464 - CP 1842 - Esteban Echeverría (Buenos Aires),(011) 4290-9381,-34.826406,-58.480187
Consejo Federal de la Niñez,CFN – La Rioja – La Rioja,Subsecretaría de Niñez y Adolescencia,La Rioja,La Rioja,ministeriodesarrollosocial.lr@gmail.com,,El Chacho 50 - CP 5300 - La Rioja (La Rioja),(0380) 4426214,-29.411561,-66.845066
Consejo Federal de la Niñez,CFN – La Pampa – Santa Rosa,Ministerio de Desarrollo Social,La Pampa,Santa Rosa,webmasterMDS@lapampa.gob.ar,,"Av. Luro y San Martín, Centro Cívico P.B. - CP 6300 - Santa Rosa (La Pampa)",(02954) 452600 (int. 2028),-36.621536,-64.280947
Consejo Federal de la Niñez,CFN – Jujuy – San Salvador de Jujuy,Ministerio de Desarrollo Humano  ,Jujuy,San Salvador de Jujuy,privadamindesarrollohumano@gmail.com,,"Av. Bolivia 2571, Barrio Huaico - CP 4600 - San Salvador de Jujuy (Jujuy)",(0388) 4225538 ,-24.179217,-65.34562
Consejo Federal de la Niñez,CFN – Tucumán – San Miguel de Tucumán,"Secretaría de Niñez, Adolescencia y Familia",Tucumán,San Miguel de Tucumán,,,"Piedras 530, 3° Piso - CP 4000 - San Miguel de Tucumán (Tucumán)",(0381) 4553906,-26.834913,-65.205962
Consejo Federal de la Niñez,CFN – Tierra del Fuego – Ushuaia,Ministerio de Desarrollo Social,Tierra del Fuego,Ushuaia,,,Guiraldes 576 - CP 9410 - Ushuaia (Tierra del Fuego),(02901) 435208 (int. 2250),-54.811208,-68.326605
Consejo Federal de la Niñez,CFN – Formosa  – Formosa,Ministerio de la Comunidad,Formosa,Formosa,despachocomunidad@formosa.gov.ar,,Padre Grotti 1040 - CP 3600 - Formosa (Formosa),(0370) 4426085,-26.190462,-58.181379
Consejo Federal de la Niñez,CFN – Santiago del Estero – Santiago del Estero,"Subsecretaría de Niñez, Adolescencia y Familia",Santiago del Estero,Santiago del Estero,subnaf.sde@gmail.com,,Balcarce 95 - CP 4200 - Santiago del Estero (Santiago  del Estero),(0385) 4317313,-27.800101,-64.251171
Consejo Federal de la Niñez,CFN – Santa Fe – Santa Fe,Secretaría de Políticas Sociales,Santa Fe,Santa Fe,ministeriodesarrollosocial@santafe.gov.ar,,San Luis 3155 - CP 3000 - Santa Fe (Santa Fe),(0342) 4578920,-31.640472,-60.701319
Consejo Federal de la Niñez,CFN – Entre Ríos – Paraná,"Consejo Provincial del Niño, el Adolescente y la Familia",Entre Ríos,Paraná,presidenciacopnaf@gmail.com,,Corrientes 190 - CP 3100 - Paraná (Entre Ríos),(0343) 4208831,-31.730849,-60.527943
Consejo Federal de la Niñez,CFN – Santa Cruz – Río Gallegos,Ministerio de Desarrollo Social,Santa Cruz,Río Gallegos,mdsministro2016@gmail.com,,Salta 75 - CP 9400 - Río Gallegos (Santa Cruz),(02966) 420535,-51.625631,-69.208687
Consejo Federal de la Niñez,CFN – Corrientes – Corrientes,Consejo Provincial de la Mujer y la Familia,Corrientes,Corrientes,mujeryfamilia@desarrollosocial.corrientes.gov.ar / copnafcorrientes@yahoo.com.ar,,Murcia 59 - CP 3400 - Corrientes (Corrientes),(0379) 4484797 (int. 231)                                      ,-27.458508,-58.787243
Consejo Federal de la Niñez,CFN – San Luis – San Luis,Ministerio de Desarrollo Social,San Luis,San Luis,ministeriodesarrollo@sanluis.gob.ar,,"Autopista de las Serranías Puntanas Km 783, Terrazas de Portezuelo, Edificio Estrategias - CP 5700 - San Luis (San Luis)",(0266) 4452000,-33.304335,-66.294221
Consejo Federal de la Niñez,CFN – Córdoba – Córdoba,"Secretaría de Niñez, Adolescencia y Familia",Córdoba,Córdoba,familia.senaf@cba.gov.ar,,"Maestro López 113, Complejo Pizzurno, Pabellón Eva Perón - CP 5016 - Córdoba (Córdoba)",(0351) 4343456,-31.442444,-64.194093
Consejo Federal de la Niñez,CFN – San Juan – San Juan,Ministerio de Desarrollo Humano y Promoción Social,San Juan,San Juan,dnafsj@yahoo.con.ar,,"Av. Libertador y Av. Las Heras, Centro Cívico, Núcleo 1° piso - CP 5400 - San Juan (San Juan)",(0264) 4306001,-31.53529,-68.538203
Consejo Federal de la Niñez,CFN – Salta – Villa Las Rosas,Ministerio de Primera Infancia,Salta,Villa Las Rosas,,,"Los Gladiolos 46, Villa Las Rosas - CP A4406CTB - Salta (Salta)",(0387) 4219684,-24.802585,-65.392738
Consejo Federal de la Niñez,CFN – Buenos Aires – Ciudad Autónoma de Buenos Aires,Consejo de Derechos de Derechos de Niños/as y Adolescentes,Ciudad Autónoma de Buenos Aires,Buenos Aires,presidencia_cdnnya@buenosaires.gob.ar,,Av. Roque Saenz Peña 832 - CP 1035 - Ciudad Autónoma de Buenos Aires (Buenos Aires),(011) 4328-3808,-34.605575,-58.378389
Consejo Federal de la Niñez,CFN – Río Negro – Viedma,"Secretaría de Niñez, Adolescencia y Familia",Río Negro,Viedma,senafrionegro@gmail.com,,Belgrano 866 - CP R8500FAR - Viedma (Río Negro),(02920) 699205,-40.810811,-62.998048
Consejo Federal de la Niñez,CFN – Neuquén – Neuquén,Subsecretaría de Familia,Neuquén,Neuquén,,,Remigio Bosch y J.J. Lastra - CP 8300 - Neuquén (Neuquén),(0299) 4434056,-38.959305,-68.076321
Consejo Federal de la Niñez,CFN – Chubut – Rawson,Ministerio de la Familia y Promoción Social,Chubut,Rawson,privadamfyps@gmail.com,,Fontana 50 - CP 9103 - Rawson (Chubut) ,(0280) 4480229,-43.248605,-65.308046
Consejo Federal de la Niñez,CFN – Misiones – Posadas,"Ministerio de Desarrollo Social, la Mujer y la Juventud",Misiones,Posadas,mdsmisiones@misiones.gov.ar,,"Dávila 1052, Centro Cívico, Edificio 2 - CP 3300 - Posadas (Misiones)",(0376) 4447226,-27.358384,-55.904917
Consejo Federal de la Niñez,CFN – Chaco – Resistencia,Ministerio de Desarrollo Social,Chaco,Resistencia,ministrodesarrollochaco@gmail.com,,25 de Mayo 855 - CP 3500 - Resistencia (Chaco),(0362) 4433005 (int. 3406),-27.444379,-58.994247
Consejo Federal de la Niñez,CFN – Mendoza – Mendoza,Subsecretaría de Desarrollo Social,Mendoza,Mendoza,dinaf@mendoza.gov.ar,,"Av. Peltier 351, Bo. Cívico, Cuerpo Central 5º piso - CP 5500 - Mendoza (Mendoza)",(0261) 4493022,-32.899141,-68.846403
Consejo Federal de la Niñez,CFN – Catamarca – San Fernando del Valle de Catamarca,Ministerio de Desarrollo Social,Catamarca,San Fernando del Valle de Catamarca,desarrollo_social@catamarca.gov.ar,,Av. Venezuela s/n - CP 4700 - San Fernando del Valle de Catamarca (Catamarca),(0383) 459000 (int.3300),-28.460408,-65.765936
Consejo Federal de la Niñez,CFN – Buenos Aires – La Plata,Organismo Provincial de la Niñez y la Adolescencia ,Buenos Aires,La Plata,secretarianya@gmail.com,,"Calle 116 (entre calles 70 y 71) Nº 1869, 1er piso, Of. 18 - CP 1900 - La Plata (Buenos Aires)",(0221) 4293740,-34.922229,-57.92148
Consejo Federal de Discapacidad,DIS – Santiago del Estero – Santiago del Estero,Fundación ANCADI - Representante No Gubernamental Región NOA,Santiago del Estero,Santiago del Estero,mferreyra3@gmail.com,,Av. Belgrano 1350 Norte  - CP 4200 - Santiago del Estero (Santiago del Estero),(0385) 4340038,-27.769458,-64.276906
Consejo Federal de Discapacidad,DIS – Tucumán – Las Talitas,Fundación Huayra - Representante No Gubernamental Provincial,Tucumán,Las Talitas,brisaediciones@hotmail.com,,"Barrio Pablo 6 manzana I, Casa 10 - CP 4101 - Las Talitas (Tucumán)",(0381) 3381819,-26.775254,-65.195991
Consejo Federal de Discapacidad,DIS – Ciudad Autónoma de Buenos Aires,La Usina  - Representante No Gubernamental de la Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,info@lausina.org,,Tres Arroyos 1127 - CP 1416 - Ciudad Autónoma de Buenos Aires (Buenos Aires) ,(011) 4581-8221,-34.606619,-58.455796
Consejo Federal de Discapacidad,DIS – Chubut – Trelew,Asociación de Sordos Chubutenses - Representante No Gubernamental REGION PATAGONICA,Chubut,Trelew,asch_datos@yahoo.com.ar,,Centro de Promoción Social - Barrio San Martín - CP 9100 - Trelew (Chubut),(0280) 154665800,-43.242333,-65.318522
